ncc/000000.jpg
('score = ', 'ncc/000006.jpg', 'ncc/000001.jpg', 328.79114428162575, 0.8219778607040644)
('score = ', 'ncc/000006.jpg', 'ncc/000002.jpg', 327.7575359940529, 0.8193938399851323)
('score = ', 'ncc/000006.jpg', 'ncc/000003.jpg', 327.4855670630932, 0.8187139176577329)
('score = ', 'ncc/000006.jpg', 'ncc/000004.jpg', 329.3258044719696, 0.823314511179924)
('score = ', 'ncc/000006.jpg', 'ncc/000005.jpg', 323.421036362648, 0.80855259090662)
('score = ', 'ncc/000006.jpg', 'ncc/000006.jpg', 399.9993864297867, 0.9999984660744667)
('score = ', 'ncc/000006.jpg', 'ncc/000007.jpg', 329.7824826836586, 0.8244562067091465)
('score = ', 'ncc/000006.jpg', 'ncc/000008.jpg', 325.20588821172714, 0.8130147205293179)
('score = ', 'ncc/000006.jpg', 'ncc/000009.jpg', 324.0472476184368, 0.810118119046092)
ncc/000007.jpg
('score = ', 'ncc/000007.jpg', 'ncc/000000.jpg', 333.2287127375603, 0.8330717818439006)
('score = ', 'ncc/000007.jpg', 'ncc/000001.jpg', 342.9417446255684, 0.857354361563921)
('score = ', 'ncc/000007.jpg', 'ncc/000002.jpg', 341.82515999674797, 0.85456289999187)
('score = ', 'ncc/000007.jpg', 'ncc/000003.jpg', 346.6709328889847, 0.8666773322224617)
('score = ', 'ncc/000007.jpg', 'ncc/000004.jpg', 345.4509119987488, 0.8636272799968719)
('score = ', 'ncc/000007.jpg', 'ncc/000005.jpg', 337.82322531938553, 0.8445580632984638)
('score = ', 'ncc/000007.jpg', 'ncc/000006.jpg', 345.09230756759644, 0.8627307689189911)
('score = ', 'ncc/000007.jpg', 'ncc/000007.jpg', 399.9965127110481, 0.9999912817776203)
('score = ', 'ncc/000007.jpg', 'ncc/000008.jpg', 343.37166467309, 0.858429161682725)
('score = ', 'ncc/000007.jpg', 'ncc/000009.jpg', 341.60531198978424, 0.8540132799744606)
ncc/000008.jpg
('score = ', 'ncc/000008.jpg', 'ncc/000000.jpg', 335.6501650214195, 0.8391254125535488)
('score = ', 'ncc/000008.jpg', 'ncc/000001.jpg', 343.5844002664089, 0.8589610006660223)
('score = ', 'ncc/000008.jpg', 'ncc/000002.jpg', 343.0230795741081, 0.8575576989352703)
('score = ', 'ncc/000008.jpg', 'ncc/000003.jpg', 343.38391983509064, 0.8584597995877266)
('score = ', 'ncc/000008.jpg', 'ncc/000004.jpg', 344.211174428463, 0.8605279360711574)
('score = ', 'ncc/000008.jpg', 'ncc/000005.jpg', 335.73404759168625, 0.8393351189792156)
('score = ', 'ncc/000008.jpg', 'ncc/000006.jpg', 342.95323476195335, 0.8573830869048834)
('score = ', 'ncc/000008.jpg', 'ncc/000007.jpg', 344.78609228134155, 0.8619652307033538)
('score = ', 'ncc/000008.jpg', 'ncc/000008.jpg', 399.92916440963745, 0.9998229110240936)
('score = ', 'ncc/000008.jpg', 'ncc/000009.jpg', 341.65327006578445, 0.8541331751644612)
ncc/000009.jpg
('score = ', 'ncc/000009.jpg', 'ncc/000000.jpg', 336.23228400945663, 0.8405807100236415)
('score = ', 'ncc/000009.jpg', 'ncc/000001.jpg', 345.03121680021286, 0.8625780420005321)
('score = ', 'ncc/000009.jpg', 'ncc/000002.jpg', 344.79735085368156, 0.8619933771342039)
('score = ', 'ncc/000009.jpg', 'ncc/000003.jpg', 344.3853651881218, 0.8609634129703045)
('score = ', 'ncc/000009.jpg', 'ncc/000004.jpg', 344.27365696430206, 0.8606841424107552)
('score = ', 'ncc/000009.jpg', 'ncc/000005.jpg', 338.71557253599167, 0.8467889313399791)
('score = ', 'ncc/000009.jpg', 'ncc/000006.jpg', 344.420873939991, 0.8610521848499775)
('score = ', 'ncc/000009.jpg', 'ncc/000007.jpg', 345.3815050125122, 0.8634537625312805)
('score = ', 'ncc/000009.jpg', 'ncc/000008.jpg', 343.3465494811535, 0.8583663737028837)
('score = ', 'ncc/000009.jpg', 'ncc/000009.jpg', 399.9813250899315, 0.9999533127248287)
