ncc/000000.jpg
('score = ', 'ncc/000006.jpg', 'ncc/000001.jpg', 389.47308498620987, 0.9736827124655246)
('score = ', 'ncc/000006.jpg', 'ncc/000002.jpg', 389.43209397792816, 0.9735802349448204)
('score = ', 'ncc/000006.jpg', 'ncc/000003.jpg', 388.9013682603836, 0.972253420650959)
('score = ', 'ncc/000006.jpg', 'ncc/000004.jpg', 389.61883968114853, 0.9740470992028714)
('score = ', 'ncc/000006.jpg', 'ncc/000005.jpg', 388.8299770951271, 0.9720749427378178)
('score = ', 'ncc/000006.jpg', 'ncc/000006.jpg', 399.99997186660767, 0.9999999296665192)
('score = ', 'ncc/000006.jpg', 'ncc/000007.jpg', 388.7075033187866, 0.9717687582969665)
('score = ', 'ncc/000006.jpg', 'ncc/000008.jpg', 388.4247111082077, 0.9710617777705193)
('score = ', 'ncc/000006.jpg', 'ncc/000009.jpg', 387.4502557516098, 0.9686256393790245)
ncc/000007.jpg
('score = ', 'ncc/000007.jpg', 'ncc/000000.jpg', 394.84580343961716, 0.9871145085990429)
('score = ', 'ncc/000007.jpg', 'ncc/000001.jpg', 396.1359868645668, 0.990339967161417)
('score = ', 'ncc/000007.jpg', 'ncc/000002.jpg', 396.00006276369095, 0.9900001569092274)
('score = ', 'ncc/000007.jpg', 'ncc/000003.jpg', 396.1850406527519, 0.9904626016318798)
('score = ', 'ncc/000007.jpg', 'ncc/000004.jpg', 396.2027640938759, 0.9905069102346897)
('score = ', 'ncc/000007.jpg', 'ncc/000005.jpg', 395.6600195169449, 0.9891500487923622)
('score = ', 'ncc/000007.jpg', 'ncc/000006.jpg', 396.0037485361099, 0.9900093713402748)
('score = ', 'ncc/000007.jpg', 'ncc/000007.jpg', 399.9999811053276, 0.999999952763319)
('score = ', 'ncc/000007.jpg', 'ncc/000008.jpg', 395.89182513952255, 0.9897295628488064)
('score = ', 'ncc/000007.jpg', 'ncc/000009.jpg', 395.5991406440735, 0.9889978516101837)
ncc/000008.jpg
('score = ', 'ncc/000008.jpg', 'ncc/000000.jpg', 395.7331304550171, 0.9893328261375427)
('score = ', 'ncc/000008.jpg', 'ncc/000001.jpg', 396.4591445326805, 0.9911478613317013)
('score = ', 'ncc/000008.jpg', 'ncc/000002.jpg', 396.54944801330566, 0.9913736200332641)
('score = ', 'ncc/000008.jpg', 'ncc/000003.jpg', 396.3394683599472, 0.9908486708998681)
('score = ', 'ncc/000008.jpg', 'ncc/000004.jpg', 396.54184556007385, 0.9913546139001846)
('score = ', 'ncc/000008.jpg', 'ncc/000005.jpg', 395.9716143012047, 0.9899290357530117)
('score = ', 'ncc/000008.jpg', 'ncc/000006.jpg', 396.42046624422073, 0.9910511656105518)
('score = ', 'ncc/000008.jpg', 'ncc/000007.jpg', 396.25360184907913, 0.9906340046226978)
('score = ', 'ncc/000008.jpg', 'ncc/000008.jpg', 399.99996346235275, 0.9999999086558818)
('score = ', 'ncc/000008.jpg', 'ncc/000009.jpg', 395.93135529756546, 0.9898283882439136)
ncc/000009.jpg
('score = ', 'ncc/000009.jpg', 'ncc/000000.jpg', 395.40614479780197, 0.988515361994505)
('score = ', 'ncc/000009.jpg', 'ncc/000001.jpg', 396.0434303879738, 0.9901085759699345)
('score = ', 'ncc/000009.jpg', 'ncc/000002.jpg', 396.13202035427094, 0.9903300508856774)
('score = ', 'ncc/000009.jpg', 'ncc/000003.jpg', 396.1127792596817, 0.9902819481492042)
('score = ', 'ncc/000009.jpg', 'ncc/000004.jpg', 396.21241921186447, 0.9905310480296612)
('score = ', 'ncc/000009.jpg', 'ncc/000005.jpg', 395.65015691518784, 0.9891253922879696)
('score = ', 'ncc/000009.jpg', 'ncc/000006.jpg', 396.12300556898117, 0.990307513922453)
('score = ', 'ncc/000009.jpg', 'ncc/000007.jpg', 396.3376640677452, 0.990844160169363)
('score = ', 'ncc/000009.jpg', 'ncc/000008.jpg', 396.00721818208694, 0.9900180454552173)
('score = ', 'ncc/000009.jpg', 'ncc/000009.jpg', 399.99997931718826, 0.9999999482929707)
