ncc/000000.jpg
('score = ', 'ncc/000006.jpg', 'ncc/000002.jpg', 39970950.34094238, 390.34131192326544)
('score = ', 'ncc/000006.jpg', 'ncc/000003.jpg', 21857346.80810547, 213.45065242290497)
('score = ', 'ncc/000006.jpg', 'ncc/000004.jpg', 30526770.696289062, 298.1129950809479)
('score = ', 'ncc/000006.jpg', 'ncc/000005.jpg', 23485199.08557129, 229.3476473200321)
('score = ', 'ncc/000006.jpg', 'ncc/000006.jpg', 22430437.311523438, 219.04723937034606)
('score = ', 'ncc/000006.jpg', 'ncc/000007.jpg', 19152895.653442383, 187.03999661564828)
('score = ', 'ncc/000006.jpg', 'ncc/000008.jpg', 30920572.802978516, 301.95871877908706)
('score = ', 'ncc/000006.jpg', 'ncc/000009.jpg', 22767800.35498047, 222.34180034160613)
ncc/000007.jpg
('score = ', 'ncc/000007.jpg', 'ncc/000000.jpg', 30559633.1328125, 298.43391731262204)
('score = ', 'ncc/000007.jpg', 'ncc/000001.jpg', 38539934.442871094, 376.366547293663)
('score = ', 'ncc/000007.jpg', 'ncc/000002.jpg', 39075845.89013672, 381.6000575208664)
('score = ', 'ncc/000007.jpg', 'ncc/000003.jpg', 22167067.93017578, 216.47527275562285)
('score = ', 'ncc/000007.jpg', 'ncc/000004.jpg', 29490096.889892578, 287.9892274403572)
('score = ', 'ncc/000007.jpg', 'ncc/000005.jpg', 22701619.09326172, 221.69549895763396)
('score = ', 'ncc/000007.jpg', 'ncc/000006.jpg', 21094393.16040039, 205.99993320703507)
('score = ', 'ncc/000007.jpg', 'ncc/000007.jpg', 18963430.387451172, 185.18974987745284)
('score = ', 'ncc/000007.jpg', 'ncc/000008.jpg', 30899164.157958984, 301.7496499800682)
('score = ', 'ncc/000007.jpg', 'ncc/000009.jpg', 22209986.564453125, 216.89440004348754)
ncc/000008.jpg
('score = ', 'ncc/000008.jpg', 'ncc/000000.jpg', 34434533.8873291, 336.2747449934483)
